time,infection
1950,2064
1950.00274,2092
1950.005479,2117
1950.008219,2138
1950.010959,2157
1950.013699,2315
1950.016438,2453
1950.019178,2574
1950.021918,2680
1950.024658,2773
1950.027397,2854
1950.030137,2924
1950.032877,2986
1950.035616,3041
1950.038356,3088
1950.041096,3130
1950.043836,3166
1950.046575,3198
1950.049315,3226
1950.052055,3250
1950.054795,3271
1950.057534,3290
1950.060274,3306
1950.063014,3321
1950.065753,3333
1950.068493,3344
1950.071233,3392
1950.073973,3435
1950.076712,3472
1950.079452,3504
1950.082192,3533
1950.084932,3558
1950.087671,3579
1950.090411,3780
1950.093151,3955
1950.09589,4109
1950.09863,4243
1950.10137,4360
1950.10411,4463
1950.106849,4553
1950.109589,4761
1950.112329,4944
1950.115068,5103
1950.117808,5243
1950.120548,5365
1950.123288,5472
1950.126027,5565
1950.128767,5699
1950.131507,5815
1950.134247,5918
1950.136986,6007
1950.139726,6085
1950.142466,6154
1950.145205,6214
1950.147945,6357
1950.150685,6482
1950.153425,6592
1950.156164,6688
1950.158904,6772
1950.161644,6845
1950.164384,6909
1950.167123,6901
1950.169863,6893
1950.172603,6887
1950.175342,6881
1950.178082,6876
1950.180822,6872
1950.183562,6868
1950.186301,7020
1950.189041,7153
1950.191781,7269
1950.194521,7371
1950.19726,7461
1950.2,7539
1950.20274,7607
1950.205479,6902
1950.208219,6285
1950.210959,5746
1950.213699,5274
1950.216438,4861
1950.219178,4499
1950.221918,4183
1950.224658,4710
1950.227397,5170
1950.230137,5573
1950.232877,5926
1950.235616,6235
1950.238356,6505
1950.241096,6741
1950.243836,7052
1950.246575,7323
1950.249315,7561
1950.252055,7769
1950.254795,7951
1950.257534,8110
1950.260274,8250
1950.263014,8229
1950.265753,8211
1950.268493,8195
1950.271233,8181
1950.273973,8169
1950.276712,8159
1950.279452,8149
1950.282192,8582
1950.284932,8960
1950.287671,9291
1950.290411,9581
1950.293151,9835
1950.29589,10056
1950.29863,10251
1950.30137,10226
1950.30411,10204
1950.306849,10186
1950.309589,10169
1950.312329,10155
1950.315068,10142
1950.317808,10131
1950.320548,10031
1950.323288,9943
1950.326027,9866
1950.328767,9799
1950.331507,9740
1950.334247,9688
1950.336986,9643
1950.339726,9591
1950.342466,9545
1950.345205,9505
1950.347945,9470
1950.350685,9440
1950.353425,9413
1950.356164,9389
1950.358904,9550
1950.361644,9691
1950.364384,9814
1950.367123,9922
1950.369863,10016
1950.372603,10098
1950.375342,10170
1950.378082,10519
1950.380822,10823
1950.383562,11090
1950.386301,11323
1950.389041,11528
1950.391781,11706
1950.394521,11862
1950.39726,12103
1950.4,12313
1950.40274,12497
1950.405479,12658
1950.408219,12799
1950.410959,12922
1950.413699,13030
1950.416438,13254
1950.419178,13450
1950.421918,13621
1950.424658,13772
1950.427397,13903
1950.430137,14018
1950.432877,14118
1950.435616,14323
1950.438356,14502
1950.441096,14658
1950.443836,14795
1950.446575,14915
1950.449315,15020
1950.452055,15112
1950.454795,14842
1950.457534,14607
1950.460274,14400
1950.463014,14220
1950.465753,14062
1950.468493,13924
1950.471233,13803
1950.473973,13749
1950.476712,13702
1950.479452,13660
1950.482192,13624
1950.484932,13592
1950.487671,13564
1950.490411,13540
1950.493151,13480
1950.49589,13428
1950.49863,13381
1950.50137,13341
1950.50411,13306
1950.506849,13275
1950.509589,13248
1950.512329,13238
1950.515068,13228
1950.517808,13220
1950.520548,13213
1950.523288,13207
1950.526027,13201
1950.528767,13197
1950.531507,13257
1950.534247,13310
1950.536986,13357
1950.539726,13397
1950.542466,13433
1950.545205,13464
1950.547945,13491
1950.550685,13411
1950.553425,13341
1950.556164,13280
1950.558904,13227
1950.561644,13180
1950.564384,13139
1950.567123,13103
1950.569863,12981
1950.572603,12874
1950.575342,12781
1950.578082,12699
1950.580822,12628
1950.583562,12565
1950.586301,12510
1950.589041,12410
1950.591781,12323
1950.594521,12247
1950.59726,12180
1950.6,12121
1950.60274,12070
1950.605479,12025
1950.608219,11701
1950.610959,11418
1950.613699,11169
1950.616438,10952
1950.619178,10762
1950.621918,10596
1950.624658,10450
1950.627397,10155
1950.630137,9896
1950.632877,9670
1950.635616,9471
1950.638356,9298
1950.641096,9146
1950.643836,9014
1950.646575,8677
1950.649315,8383
1950.652055,8125
1950.654795,7900
1950.657534,7703
1950.660274,7530
1950.663014,7379
1950.665753,7079
1950.668493,6816
1950.671233,6586
1950.673973,6384
1950.676712,6208
1950.679452,6054
1950.682192,5919
1950.684932,5646
1950.687671,5406
1950.690411,5197
1950.693151,5014
1950.69589,4853
1950.69863,4713
1950.70137,4590
1950.70411,4470
1950.706849,4365
1950.709589,4273
1950.712329,4192
1950.715068,4121
1950.717808,4060
1950.720548,4006
1950.723288,3997
1950.726027,3990
1950.728767,3983
1950.731507,3978
1950.734247,3973
1950.736986,3969
1950.739726,3965
1950.742466,4013
1950.745205,4056
1950.747945,4093
1950.750685,4125
1950.753425,4154
1950.756164,4179
1950.758904,4201
1950.761644,4388
1950.764384,4552
1950.767123,4696
1950.769863,4821
1950.772603,4931
1950.775342,5027
1950.778082,5112
1950.780822,5392
1950.783562,5638
1950.786301,5853
1950.789041,6042
1950.791781,6206
1950.794521,6350
1950.79726,6476
1950.8,6742
1950.80274,6975
1950.805479,7178
1950.808219,7356
1950.810959,7512
1950.813699,7648
1950.816438,7767
1950.819178,8014
1950.821918,8230
1950.824658,8419
1950.827397,8585
1950.830137,8730
1950.832877,8856
1950.835616,8967
1950.838356,9284
1950.841096,9562
1950.843836,9805
1950.846575,10017
1950.849315,10203
1950.852055,10366
1950.854795,10508
1950.857534,10814
1950.860274,11082
1950.863014,11317
1950.865753,11522
1950.868493,11701
1950.871233,11858
1950.873973,11995
1950.876712,12362
1950.879452,12682
1950.882192,12963
1950.884932,13208
1950.887671,13423
1950.890411,13611
1950.893151,13775
1950.89589,14139
1950.89863,14457
1950.90137,14736
1950.90411,14980
1950.906849,15193
1950.909589,15380
1950.912329,15543
1950.915068,15855
1950.917808,16127
1950.920548,16366
1950.923288,16574
1950.926027,16757
1950.928767,16916
1950.931507,17056
1950.934247,17619
1950.936986,18111
1950.939726,18542
1950.942466,18919
1950.945205,19249
1950.947945,19538
1950.950685,19791
1950.953425,19934
1950.956164,20059
1950.958904,20169
1950.961644,20265
1950.964384,20349
1950.967123,20423
1950.969863,20487
1950.972603,20569
1950.975342,20641
1950.978082,20704
1950.980822,20759
1950.983562,20807
1950.986301,20849
1950.989041,20886
1950.991781,21475
1950.994521,21991
1950.99726,22442
1951,22837
1951.00274,23183
1951.005479,23485
1951.008219,23750
1951.010959,23878
1951.013699,23991
1951.016438,24089
1951.019178,24176
1951.021918,24251
1951.024658,24317
1951.027397,24375
1951.030137,24002
1951.032877,23676
1951.035616,23391
1951.038356,23142
1951.041096,22923
1951.043836,22732
1951.046575,22565
1951.049315,22029
1951.052055,21561
1951.054795,21150
1951.057534,20792
1951.060274,20478
1951.063014,20203
1951.065753,19963
1951.068493,19752
1951.071233,19568
1951.073973,19407
1951.076712,19266
1951.079452,19143
1951.082192,19035
1951.084932,18941
1951.087671,18909
1951.090411,18881
1951.093151,18857
1951.09589,18835
1951.09863,18817
1951.10137,18800
1951.10411,18786
1951.106849,19535
1951.109589,20191
1951.112329,20764
1951.115068,21266
1951.117808,21705
1951.120548,22090
1951.123288,22426
1951.126027,23143
1951.128767,23771
1951.131507,24320
1951.134247,24801
1951.136986,25221
1951.139726,25589
1951.142466,25911
1951.145205,26650
1951.147945,27296
1951.150685,27862
1951.153425,28356
