,Year,Inferred population,Number of Live Births,,"Crude Birth Rate (Live Births per 1,000 population) 3,4",,,,,,
,,England and Wales,United Kingdom,England and Wales,United Kingdom,England and Wales,Year,Number of deaths,,,
,,,,,,,,United Kingdom,England and Wales,2015,57885400
,2014,"5,745,727","776,352","695,233",12.0,12.1,2014,"570,341","501,424",2014,57408700
,2013,"5,678,959","778,803","698,512",12.1,12.3,2013,"576,458","506,790",2013,56948200
,2012,"5,656,388","812,970","729,674",12.8,12.9,2012,"569,024","499,331",2012,56567800
,2011,"5,611,729","807,776","723,913",12.8,12.9,2011,"552,232"," 484,367 ",2011,56170900
,2010,"5,562,808","807,271","723,165",12.9,13.0,2010,"561,666","493,242",2010,55692400
,2009,"5,517,563","790,204","706,248",12.7,12.8,2009,"559,617","491,348",2009,55235300
,2008,"5,493,884","794,383","708,711",12.8,12.9,2008,"579,697","509,090",2008,54841700
,2007,"5,433,173","772,245","690,013",12.6,12.7,2007,"574,687","504,052",2007,54387400
,2006,"5,400,008","748,563","669,601",12.3,12.4,2006,"572,224","502,599",2006,53950900
,2005,"5,337,479","722,549","645,835",12.0,12.1,2005,"582,964","512,993",2005,53575300
,2004,"5,331,008","715,996","639,721",11.9,12.0,2004,"584,791","514,250",2004,53152000
,2003,"5,266,686","695,549","621,469",11.7,11.8,2003,"612,085","539,151",2003,52863200
,2002,"5,275,416","668,777","596,122",11.3,11.3,2002,"608,045","535,356",2002,52602100
,2001,"5,216,088","669,123","594,634",11.3,11.4,2001,"604,393","532,498",2001,52360000
,2000,"5,210,698","679,029","604,441",11.5,11.6,2000,"610,579","537,877",2000,52140200
,1999,"5,182,267","699,976","621,872",11.9,12.0,1999,"629,476","553,532",1999,51933500
,1998,"5,169,927","716,888","635,901",12.3,12.3,1998,"627,592","553,435",1998,51720100
,1997,"5,144,760","726,622","643,095",12.6,12.5,1997,"632,517","558,052",1997,51559600
,1996,"5,154,643","733,163","649,485",12.6,12.6,1996,"638,879","563,007",1996,51410400
,1995,"5,143,952","731,882","648,138",12.6,12.6,1995,"641,712","565,902",1995,51272000
,1994,"5,113,277","750,480","664,726",13.0,13.0,1994,"626,222","551,780",1994,51116200
,1993,"5,102,023","761,526","673,467",13.2,13.2,1993,"658,194","578,512",1993,50985900
,1992,"5,071,000","780,799","689,656",13.6,13.6,1992,"634,238","558,313",1992,50875600
,1991,"5,066,790","792,269","699,217",13.8,13.8,1991,"646,181","570,044",1991,50748000
,1990,"5,043,857","798,364","706,140",13.9,14.0,1990,"641,799","564,846",1990,50560600
,1989,"5,056,801","777,036","687,725",13.6,13.6,1989,"657,733","576,872",1989,50407800
,1988,"5,025,920","787,303","693,577",13.8,13.8,1988,"649,178","571,408",1988,50253600
,1987,"5,011,110","775,405","681,511",13.7,13.6,1987,"644,342","566,994",1987,50123000
,1986,"5,007,712","754,805","661,018",13.3,13.2,1986,"660,735","581,203",1986,49998600
,1985,"4,972,856","750,520","656,417",13.3,13.2,1985,"670,656","590,734",1985,49860700
,1984,"4,975,141","729,401","636,818",12.9,12.8,1984,"644,918","566,881",1984,49713100
,1983,"4,953,811","721,238","629,134",12.8,12.7,1983,"659,101","579,608",1983,49617000
,1982,"4,967,706","718,999","625,931",12.8,12.6,1982,"662,801","581,861",1982,49581600
,1981,"4,956,969","730,712","634,492",13.0,12.8,1981,"657,974","577,890",1981,49634300
,1980,"4,971,470","753,708","656,234",13.4,13.2,1980,"661,519","581,385",1980,49603000
,1979,"4,945,953","734,572","638,028",13.1,12.9,1979,"675,576","593,019",1979,49508200
,1978,"4,929,074","686,952","596,418",12.2,12.1,1978,"667,177","585,901",1978,49442500
,1977,"4,950,078","657,038","569,259",11.7,11.5,1977,"655,143","575,928",1977,49440400
,1976,"4,951,441","675,526","584,270",12.0,11.8,1976,"680,799","598,516",1976,49459200
,1975,"4,946,270","697,518","603,445",12.4,12.2,1975,"662,477","582,841",1975,49469800
,1974,"4,960,349","737,138","639,885",13.1,12.9,1974,"667,359","585,292",1974,49467900
,1973,"4,933,964","779,545","675,953",13.9,13.7,1973,"669,692","587,478",1973,49459000
,1972,"4,934,966","833,984","725,440",14.9,14.7,1972,"673,938","591,889",1972,49327100
,1971,"4,925,503","901,648","783,155",16.1,15.9,1971,"645,078","567,262",1971,49152000
,1970,"4,903,038","903,907","784,486",16.2,16.0,1970,"655,385","575,194",,
,1969,"4,863,037","920,256","797,538",16.6,16.4,1969,"659,537","579,378",,
,1968,"4,847,763","947,231","819,272",17.2,16.9,1968,"655,998","576,754",,
,1967,"4,838,163","961,800","832,164",17.5,17.2,1967,"616,710","542,516",,
,1966,"4,801,260","979,587","849,823",17.9,17.7,1966,"643,754","563,624",,
,1965,"4,766,436","997,275","862,725",18.3,18.1,1965,"627,798","549,379",,
,1964,"4,734,984","1,014,672","875,972",18.8,18.5,1964,"611,130","534,737",,
,1963,"4,692,610","990,160","854,055",18.5,18.2,1963,"654,288","572,868",,
,1962,"4,659,644","975,635","838,736",18.3,18.0,1962,"636,051","557,636",,
,1961,"4,609,551","944,365","811,281",17.9,17.6,1961,"631,788","551,752",,
,1960,"4,590,673","918,286","785,005",17.5,17.1,1960,"603,328","526,268",,
,1959,"4,536,370","878,561","748,501",16.9,16.5,1959,"606,115","527,651",,
,1958,"4,516,555","870,497","740,715",16.9,16.4,1958,"604,040","526,843",,
,1957,"4,493,050","851,466","723,381",16.6,16.1,1957,"591,200","514,870",,
,1956,"4,460,732","825,137","700,335",16.1,15.7,1956,"597,981","521,331",,
,1955,"4,452,073","789,315","667,811",15.5,15.0,1955,"595,916","518,864",,
,1954,"4,431,914","794,769","673,651",15.7,15.2,1954,"578,400","501,896",,
,1953,"4,415,303","804,269","684,372",15.9,15.5,1953,"577,220","503,529",,
,1952,"4,403,497","792,917","673,735",15.7,15.3,1952,"573,806","497,484",,
,1951,"4,371,155","796,645","677,529",15.8,15.5,1951,"632,786","549,380",,
,1950,"4,497,400","818,421","697,097",16.2,15.5,1950,"590,136","510,301",,
,1949,"4,348,321","855,298","730,518",17.1,16.8,1949,"589,876","510,736",,
,1948,"4,331,318","905,182","775,306",18.2,17.9,1948,"546,002","469,898",,
,1947,"4,297,688","1,025,427","881,026",21.2,20.5,1947,"600,728","517,615",,
,1946,"4,274,578","955,266","820,719",20.3,19.2,1946,"573,361","492,090",,
,1945,"4,276,333","795,868","679,937",18.1,15.9,1945,"567,027","488,108",,
,1944,"4,245,638","878,298","751,478",20.1,17.7,1944,"573,570","492,176",,
,1943,"4,224,284","810,524","684,334",18.5,16.2,1943,"585,582","501,412",,
,1942,"4,176,301","771,851","651,503",17.4,15.6,1942,"562,356","480,137",,
,1941,"4,166,122","695,726","579,091",15.5,13.9,1941,"627,378","535,180",,
,194010,"4,185,248","701,875","590,120",15.2,14.1,1940,"673,253","581,537",,
,193910,"4,151,885","726,632","614,479",15.2,14.8,1939,"581,857","499,902",,
,1938,"4,113,934","735,573","621,204",15.5,15.1,1938,"559,598","478,996",,
,1937,#VALUE!,"723,779","610,557",:,:,1937,"597,798","509,574",,
,1936,#VALUE!,"720,129","605,292",:,:,1936,"580,942","495,764",,
,1935,#VALUE!,"711,426","598,756",:,:,1935,"561,324","477,401",,
,1934,#VALUE!,"711,843","597,642",:,:,1934,"558,072","476,810",,
,1933,#VALUE!,"691,560","580,413",:,:,1933,"579,467","496,465",,
,1932,#VALUE!,"730,079","613,972",:,:,1932,"567,986","484,129",,
,1931,#VALUE!,"749,974","632,081",:,:,1931,"573,908","491,630",,
,1930,#VALUE!,"769,239","648,811",:,:,1930,"536,860","455,427",,
,1929,#VALUE!,"761,963","643,673",:,:,1929,"623,231","532,492",,
,1928,#VALUE!,"783,052","660,267",:,:,1928,"543,664","460,389",,
,1927,#VALUE!,"777,520","654,172",:,:,1927,"568,655","484,609",,
,1926,#VALUE!,"825,174","694,563",:,:,1926,"536,411","453,804",,
,1925,#VALUE!,"842,405","710,582",:,:,1925,"558,132","472,841",,
,1924,#VALUE!,"865,329","729,933",:,:,1924,"563,891","473,235",,
,1923,#VALUE!,"900,130","758,131",:,:,1923,"526,858","444,785",,
,1922,#VALUE!,"924,740","780,124",:,:,1922,"579,480","486,780",,
,1921,#VALUE!,"1,001,725","848,814",:,:,1921,"544,140","458,629",,
,1920,#VALUE!,"1,126,849","957,782",:,:,1920,"555,326","466,130",,
,1919,#VALUE!,"826,202","692,438",:,:,1919,"602,188","504,203",,
,1918,#VALUE!,"787,427","662,661",:,:,1918,"715,246","611,861",,
,1917,#VALUE!,"790,736","668,346",:,:,1917,"589,416","498,922",,
,1916,#VALUE!,"922,085","785,520",:,:,1916,"599,621","508,217",,
,1915,#VALUE!,"956,877","814,614",:,:,1915,"666,322","562,253",,
,1914,#VALUE!,"1,032,734","879,096",:,:,1914,"611,970","516,742",,
,1913,#VALUE!,"1,032,286","881,890",:,:,1913,"600,554","504,975",,
,1912,#VALUE!,"1,025,828","872,737",:,:,1912,"580,977","486,939",,
,1911,#VALUE!,"1,033,395","881,138",:,:,1911,"620,868","527,810",,
,1910,#VALUE!,"1,051,240","896,962",:,:,1910,"578,091","483,247",,
,1909,#VALUE!,"1,073,781","914,472",:,:,1909,"614,910","518,003",,
,1908,#VALUE!,"1,102,345","940,383",:,:,1908,"621,427","520,456",,
,1907,#VALUE!,"1,077,851","918,042",:,:,1907,"625,271","524,221",,
,1906,#VALUE!,"1,098,475","935,081",:,:,1906,"629,955","531,281",,
,1905,#VALUE!,"1,092,108","929,293",:,:,1905,"617,516","520,031",,
,1904,#VALUE!,"1,109,542","945,389",:,:,1904,"651,301","549,784",,
,1903,#VALUE!,"1,113,086","948,271",:,:,1903,"613,726","514,628",,
,1902,#VALUE!,"1,103,483","940,509",:,:,1902,"636,650","535,538",,
,1901,#VALUE!,"1,092,781","929,807",:,:,1901,"655,646","551,585",,
,1900,#VALUE!,"1,089,487","927,062",:,:,1900,"695,867","587,830",,
,1899,#VALUE!,"1,091,106","928,646",:,:,1899,"685,510","581,799",,
,1898,#VALUE!,"1,086,212","923,165",:,:,1898,"654,812","552,141",,
,1897,#VALUE!,"1,082,889","921,683",:,:,1897,"645,630","541,487",,
,1896,#VALUE!,"1,076,812","915,331",:,:,1896,"620,108","526,727",,
,1895,#VALUE!,"1,080,527","922,291",:,:,1895,"676,110","568,997",,
,1894,#VALUE!,"1,045,631","890,289",:,:,1894,"593,808","498,827",,
,1893,#VALUE!,"1,073,011","914,572",:,:,1893,"673,722","569,958",,
,1892,#VALUE!,"1,053,205","897,957",:,:,1892,"661,273","559,684",,
,1891,#VALUE!,"1,071,382","914,157",:,:,1891,"696,490","587,925",,
,1890,#VALUE!,"1,021,361","869,937",:,:,1890,"665,758","562,248",,
,1889,#VALUE!,"1,039,166","885,944",:,:,1889,"615,033","518,353",,
,1888,#VALUE!,"1,034,144","879,868",:,:,1888,"605,899","510,971",,
,1887,#VALUE!,"1,041,937","886,331",:,:,1887,"629,287","530,758",,
,1886,#VALUE!,:,"903,760",:,:,1886,:,"537,276",,
,1885,#VALUE!,:,"894,270",:,:,1885,:,"522,750",,
,1884,#VALUE!,:,"906,750",:,:,1884,:,"530,828",,
,1883,#VALUE!,:,"890,722",:,:,1883,:,"522,997",,
,1882,#VALUE!,:,"889,014",:,:,1882,:,"516,654",,
,1881,#VALUE!,:,"883,642",:,:,1881,:,"491,935",,
,1880,#VALUE!,:,"881,643",:,:,1880,:,"528,624",,
,1879,#VALUE!,:,"880,389",:,:,1879,:,"526,255",,
,1878,#VALUE!,:,"891,906",:,:,1878,:,"539,872",,
,1877,#VALUE!,:,"888,200",:,:,1877,:,"500,496",,
,1876,#VALUE!,:,"887,968",:,:,1876,:,"510,315",,
,1875,#VALUE!,:,"850,607",:,:,1875,:,"546,453",,
,1874,#VALUE!,:,"854,956",:,:,1874,:,"526,632",,
,1873,#VALUE!,:,"829,778",:,:,1873,:,"492,520",,
,1872,#VALUE!,:,"825,907",:,:,1872,:,"492,265",,
,1871,#VALUE!,:,"797,428",:,:,1871,:,"514,879",,
,1870,#VALUE!,:,"792,787",:,:,1870,:,"514,902",,
,1869,#VALUE!,:,"773,381",:,:,1869,:,"494,828",,
